dq_check_id,Check,Database_name,table_name,primary_key_cols,sql_fr_run,priority,threshold,run_seq
dq_20111,Blank_prod_id,com_us_hub,txn_udef_order_adjs,udef_order_adjs_key,with tmp ( select count(*) as cur_cnt from   com_us_hub.txn_udef_order_adjs  where  chnl_typ  ='SPP'  and   prod_id is null)  select * from tmp,P1,0,1
unit_final_check,blank_id,com_us_hub,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_20111'),P1,0,2
dq_20112,Blank_prod_id,com_us_hub,txn_redist_sls,redist_sls_key,with tmp ( select count(*) as cur_cnt from   com_us_hub.txn_redist_sls  where  chnl_typ  ='SPP'  and   prod_id is null)  select * from tmp,P1,0,3
unit_final_check,blank_id,com_us_hub,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_20112'),P1,0,4
dq_20113,Blank_prod_id,com_us_hub,txn_dir_sls,txn_dir_sls,with tmp ( select count(*) as cur_cnt from   com_us_hub.txn_dir_sls  where  chnl_typ  ='SPP'  and   prod_id is null)  select * from tmp,P1,0,5
unit_final_check,blank_id,com_us_hub,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_20113'),P1,0,6
dq_20211,Blank_Reporting_group,com_us_hub,txn_udef_order_adjs,,with tmp ( select count(*) as cur_cnt from  com_us_hub.txn_udef_order_adjs      where  chnl_typ  ='SPP'  and   ndc_reporting_group_nm is null)  select * from tmp,P1,0,7
Reporting_group_final_check,Reporting_group_blanco,com_us_hub,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_20311'),P1,0,8
dq_20312,Blank_Reporting_group,com_us_hub,txn_redist_sls,redist_sls_key,with tmp ( select count(*) as cur_cnt from  com_us_hub.txn_redist_sls    where  chnl_typ  ='SPP'  and   ndc_reporting_group_nm is null)  select * from tmp,P1,0,9
Reporting_group_final_check,Reporting_group_blanco,com_us_hub,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_20312'),P1,0,10
dq_20313,Blank_Reporting_group,com_us_hub,txn_dir_sls,dir_redist_sls_key,with tmp ( select count(*) as cur_cnt from  com_us_hub.txn_dir_sls      where  chnl_typ  ='SPP'  and   ndc_reporting_group_nm is null)  select * from tmp,P1,0,11
Reporting_group_final_check,Blank_Reporting_group,com_us_hub,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_20313'),P1,0,12
dq_20411,Blank_prod_desc,com_us_hub,txn_udef_order_adjs,,with tmp ( select count(*) as cur_cnt from  com_us_hub.txn_udef_order_adjs a left join  com_us_hub.ref_prd_prod  b on  a.prod_key=b.prd_prod_key   where  chnl_typ  ='SPP'  and   b.prod_nm is null)  select * from tmp,P1,0,13
Reporting_group_final_check,Blank_prod_desc,,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_20411'),P1,0,14
dq_20412,Blank_prod_desc,com_us_hub,txn_dir_sls,prod_desc,with tmp ( select count(*) as cur_cnt from  com_us_hub.txn_dir_sls a left join  com_us_hub.ref_prd_prod  b on  a.prod_key=b.prd_prod_key   where  chnl_typ  ='SPP'  and   b.prod_nm is null)  select * from tmp,P1,0,15
prod_desc_check,prod_desc_blank,com_us_hub,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_20412'),P1,0,16
dq_20413,Blank_prod_desc,com_us_hub,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_20413'),P1,0,17
prod_desc_check,prod_desc_blank,com_us_hub,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_4'),P1,0,18
dq_20511,Blank_chnl_nm,com_us_hub,txn_dir_sls,chnl_n,with tmp ( select count(*) as cur_cnt from  com_us_hub.txn_dir_sls     where  chnl_typ  ='SPP'  and   chnl_nm is null)  select * from tmp,P1,0,19
chanel_name_final_check,chnl_count,com_us_hub,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_20511'),P1,0,20
dq_20512,Blank_chnl_nm,,txn_udef_order_adjs,,with tmp ( select count(*) as cur_cnt from  com_us_hub.txn_udef_order_adjs     where  chnl_typ  ='SPP'  and   chnl_nm is null)  select * from tmp,P1,0,21
chanel_name_final_check,chnl_count,com_us_hub,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_20512'),P1,0,22
dq_20513,Blank_chnl_nm,com_us_hub,txn_redist_sls,redist_sls_key,with tmp ( select count(*) as cur_cnt from  com_us_hub.txn_redist_sls where  chnl_typ  ='SPP'  and   chnl_nm is null)  select * from tmp,P1,0,23
chanel_name_final_check,chnl_count,com_us_hub,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_20513'),P1,0,24
dq_20611,Blank_contract_id,com_us_hub,txn_dir_sls,contract_id,with tmp ( select count(1) as cur_cnt from  com_us_hub.ref_cntrct_prcing  a left join   com_us_hub.txn_dir_sls  b  on a.cntrct_prcing_key= b.pricing_contract_key     where  chnl_typ  ='SPP'  and   a.contract_id is null)  select * from tmp,P1,0,25
contract_id_check,contract_id_count,com_us_hub,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_20611'),P1,0,26
dq_20612,Blank_contract_id,com_us_hub,txn_udef_order_adjs,contract_id,with tmp ( select count(1) as cur_cnt from  com_us_hub.ref_cntrct_prcing  a left join   com_us_hub.txn_udef_order_adjs  b  on a.cntrct_prcing_key= b.pricing_contract_key     where  chnl_typ  ='SPP'  and   a.contract_id is null)  select * from tmp,P1,0,27
contract_idl_check,contract_id_count,com_us_hub,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_20612'),P1,0,28
dq_20613,Blank_contract_id,com_us_hub,txn_redist_sls,contract_id,with tmp ( select count(1) as cur_cnt from  com_us_hub.ref_cntrct_prcing  a left join   com_us_hub.txn_redist_sls  b  on a.cntrct_prcing_key= b.pricing_contract_key     where  chnl_typ  ='SPP'  and   a.contract_id is null)  select * from tmp,P1,0,29
