dq_check_id,Check,Database_name,table_name,primary_key_cols,sql_fr_run,priority,threshold,run_seq
dq_1021,product_count,com_us_hub,txn_patient_dispense,patient_dispense_key,"with tmp (select max(cur_cnt/metric*100) as metric from (select count(1) as cur_cnt, brand_nm as product from com_us_hub.txn_patient_dispense pa join com_us_hub.ref_prd_prod prd on upper(pa.prod_key) = upper(prd.prd_prod_key) where pa.ship_date  between (select min(period_start_date) from com_us_lake.dq_count_table
where rule_key = 1021) and (select max(period_end_date) from com_us_lake.dq_count_table where rule_key = 1021) and upper(franchise_nm) = 'HEMATOLOGY' group by brand_nm) cur inner join (select prv_count as prv_cnt, metric, sub_field_name as product from com_us_lake.dq_count_table where rule_key = 1021) prv on cur.product =prv.product) select * from tmp",P1,10,101
product_final_check,product_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_1021'),P1,0,102
dq_1221,channel_count,com_us_hub,txn_patient_dispense,patient_dispense_key,"with tmp (select max(cur_cnt/metric*100) as metric from (select count(1) as cur_cnt, chnl_nm as channel_name from com_us_hub.txn_patient_dispense pa join com_us_hub.ref_prd_mkt_def mk on upper(pa.prod_key) = upper(mk.prod_key) where pa.ship_date  between (select min(period_start_date) from com_us_lake.dq_count_table
where rule_key = 1221) and (select max(period_end_date) from com_us_lake.dq_count_table where rule_key = 1221) and upper(franchise_nm) = 'HEMATOLOGY' group by chnl_nm) cur inner join (select prv_count as prv_cnt, metric, sub_field_name as channel_name from com_us_lake.dq_count_table where rule_key = 1221) prv on cur.channel_name =prv.channel_name) select * from tmp",P1,10,103
channel_final_check,channel_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_1221'),P1,0,104
dq_1321,region_count,com_us_hub,txn_patient_dispense,patient_dispense_key,"with tmp (select max(cur_cnt/metric*100) as metric from (select count(1) as cur_cnt, region from (select patient_dispense_key,ship_date,region_desc as region, pat.aud_upd_dts from com_us_hub.txn_patient_dispense pat join com_us_hub.txn_prev_qtr_terr_assign on patient_dispense_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = territory_assignment join com_us_hub.ref_prd_mkt_def mk on upper(pat.prod_key) = upper(mk.prod_key) where mk.franchise_nm = 'HEMATOLOGY' and length(territory_assignment)>0 union select patient_dispense_key,ship_date,region_desc as region, pat.aud_upd_dts from com_us_hub.txn_patient_dispense pat join com_us_hub.txn_prev_qtr_terr_assign on patient_dispense_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = region_assignment join com_us_hub.ref_prd_mkt_def mk on upper(pat.prod_key) = upper(mk.prod_key) where mk.franchise_nm = 'HEMATOLOGY' and length(region_assignment)>0 union select patient_dispense_key,ship_date,area_desc as region, pat.aud_upd_dts from com_us_hub.txn_patient_dispense pat join com_us_hub.txn_prev_qtr_terr_assign on patient_dispense_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = area_assignment join com_us_hub.ref_prd_mkt_def mk on upper(pat.prod_key) = upper(mk.prod_key) where mk.franchise_nm = 'HEMATOLOGY' and length(area_assignment)>0) sa where sa.ship_date  between (select min(period_start_date) from com_us_lake.dq_count_table
where rule_key = 1321) and (select max(period_end_date) from com_us_lake.dq_count_table where rule_key = 1321)   group by region) cur inner join (select prv_count as prv_cnt, metric, sub_field_name as region from com_us_lake.dq_count_table where rule_key = 1321) prv on cur.region = prv.region) select * from tmp",P1,10,105
dq_1322,region_count,com_us_hub,txn_patient_dispense,patient_dispense_key,"with tmp (select max(cur_cnt/metric*100) as metric from (select count(1) as cur_cnt, region from (select patient_dispense_key,ship_date,region_desc as region, pat.aud_upd_dts from com_us_hub.txn_patient_dispense pat join com_us_hub.txn_curr_qtr_incremntl_redist_terr_assign on patient_dispense_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = territory_assignment join com_us_hub.ref_prd_mkt_def mk on upper(pat.prod_key) = upper(mk.prod_key) where mk.franchise_nm = 'HEMATOLOGY' and length(territory_assignment)>0 union select patient_dispense_key,ship_date,region_desc as region, pat.aud_upd_dts from com_us_hub.txn_patient_dispense pat join com_us_hub.txn_curr_qtr_incremntl_redist_terr_assign on patient_dispense_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = region_assignment join com_us_hub.ref_prd_mkt_def mk on upper(pat.prod_key) = upper(mk.prod_key) where mk.franchise_nm = 'HEMATOLOGY' and length(region_assignment)>0 union select patient_dispense_key,ship_date,area_desc as region, pat.aud_upd_dts from com_us_hub.txn_patient_dispense pat join com_us_hub.txn_curr_qtr_incremntl_redist_terr_assign on patient_dispense_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = area_assignment join com_us_hub.ref_prd_mkt_def mk on upper(pat.prod_key) = upper(mk.prod_key) where mk.franchise_nm = 'HEMATOLOGY' and length(area_assignment)>0) sa where sa.ship_date  between (select min(period_start_date) from com_us_lake.dq_count_table
where rule_key = 1322) and (select max(period_end_date) from com_us_lake.dq_count_table where rule_key = 1322)  group by region) cur inner join (select prv_count as prv_cnt, metric, sub_field_name as region from com_us_lake.dq_count_table where rule_key = 1322) prv on cur.region = prv.region) select * from tmp",P1,10,106
region_final_check,region_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM","select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_1321','dq_1322')",P1,0,107
dq_1421,territory_count,com_us_hub,txn_patient_dispense,patient_dispense_key,"with tmp (select max(cur_cnt/metric*100) as metric from (select count(1) as cur_cnt, territory from (select patient_dispense_key,ship_date,territory_desc as territory, pat.aud_upd_dts from com_us_hub.txn_patient_dispense pat join com_us_hub.txn_prev_qtr_terr_assign on patient_dispense_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = territory_assignment join com_us_hub.ref_prd_mkt_def mk on upper(pat.prod_key) = upper(mk.prod_key) where mk.franchise_nm = 'HEMATOLOGY' and length(territory_assignment)>0 union select patient_dispense_key,ship_date,region_desc as territory, pat.aud_upd_dts from com_us_hub.txn_patient_dispense pat join com_us_hub.txn_prev_qtr_terr_assign on patient_dispense_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = region_assignment join com_us_hub.ref_prd_mkt_def mk on upper(pat.prod_key) = upper(mk.prod_key) where mk.franchise_nm = 'HEMATOLOGY' and length(region_assignment)>0 union select patient_dispense_key,ship_date,area_desc as territory, pat.aud_upd_dts from com_us_hub.txn_patient_dispense pat join com_us_hub.txn_prev_qtr_terr_assign on patient_dispense_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = area_assignment join com_us_hub.ref_prd_mkt_def mk on upper(pat.prod_key) = upper(mk.prod_key) where mk.franchise_nm = 'HEMATOLOGY' and length(area_assignment)>0) sa where sa.ship_date  between (select min(period_start_date) from com_us_lake.dq_count_table
where rule_key = 1421) and (select max(period_end_date) from com_us_lake.dq_count_table where rule_key = 1421)   group by territory) cur inner join (select prv_count as prv_cnt, metric, sub_field_name as territory from com_us_lake.dq_count_table where rule_key = 1421) prv on cur.territory = prv.territory) select * from tmp",P1,10,108
dq_1422,territory_count,com_us_hub,txn_patient_dispense,patient_dispense_key,"with tmp (select max(cur_cnt/metric*100) as metric from (select count(1) as cur_cnt, territory from (select patient_dispense_key,ship_date,territory_desc as territory,  pat.aud_upd_dts from com_us_hub.txn_patient_dispense pat join com_us_hub.txn_curr_qtr_incremntl_redist_terr_assign on patient_dispense_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = territory_assignment join com_us_hub.ref_prd_mkt_def mk on upper(pat.prod_key) = upper(mk.prod_key) where mk.franchise_nm = 'HEMATOLOGY' and length(territory_assignment)>0 union select patient_dispense_key,ship_date,region_desc as territory, pat.aud_upd_dts from com_us_hub.txn_patient_dispense pat join com_us_hub.txn_curr_qtr_incremntl_redist_terr_assign on patient_dispense_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = region_assignment join com_us_hub.ref_prd_mkt_def mk on upper(pat.prod_key) = upper(mk.prod_key) where mk.franchise_nm = 'HEMATOLOGY' and length(region_assignment)>0 union select patient_dispense_key,ship_date,area_desc as territory, pat.aud_upd_dts from com_us_hub.txn_patient_dispense pat join com_us_hub.txn_curr_qtr_incremntl_redist_terr_assign on patient_dispense_key = transaction_row_key join com_us_hub.ref_sales_hierarchy on territory_id = area_assignment join com_us_hub.ref_prd_mkt_def mk on upper(pat.prod_key) = upper(mk.prod_key) where mk.franchise_nm = 'HEMATOLOGY' and length(area_assignment)>0) sa where sa.ship_date  between (select min(period_start_date) from com_us_lake.dq_count_table
where rule_key = 1422) and (select max(period_end_date) from com_us_lake.dq_count_table where rule_key = 1422)   group by territory) cur inner join (select prv_count as prv_cnt, metric, sub_field_name as territory from com_us_lake.dq_count_table where rule_key = 1422) prv on cur.territory = prv.territory) select * from tmp",P1,10,109
territory_final_check,territory_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM","select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_1421','dq_1422')",P1,0,110
