dq_check_id,Check,Database_name,table_name,primary_key_cols,sql_fr_run,priority,threshold,run_seq
dq_911,unit_count,com_us_lake,dagg_bax_comp,id,"with tmp (select abs((cur_cnt-prv_cnt)/metric*100) as metric from (select count(1) as cur_cnt, 'Unit' as field_name from (select * from com_us_lake.dagg_bax_comp cmp join com_us_lake.udef_ndc_hier ndc on cmp.ndc_number = ndc.ndc_code_10digit union select * from com_us_lake.dagg_bax_comp cmp join com_us_lake.udef_ndc_hier ndc on cmp.ndc_number = ndc.ndc_code_11digit) pa where to_date(pa.ship_date,'M/d/y') between (select min(period_start_date) from com_us_lake.dq_count_table where rule_key = 911)  and (select max(period_end_date) from com_us_lake.dq_count_table where rule_key = 911) and upper(level_1_sales_force) = 'HEMATOLOGY') cur cross join (select prv_count as prv_cnt, metric, field_name from com_us_lake.dq_count_table where rule_key = 911) prv on cur.field_name=prv.field_name) select * from tmp",P1,10,1
unit_final_check,unit_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_911'),P1,0,2
dq_1011,project_count,com_us_lake,dagg_bax_comp,id,"with tmp (select abs((cur_cnt-prv_cnt)/metric*100) as metric from (select count(1) as cur_cnt, brand_nm as product from com_us_lake.dagg_bax_comp cmp join (select src.row_key,src.brand_nm,franchise_nm,src.prod_ndc_id from (SELECT prd_prod_key as row_key,brand_nm,franchise_nm,prod_ndc_id,row_number() over(partition by prod_ndc_id order by prod_id desc) as rn FROM COM_US_HUB.ref_prd_prod WHERE aud_row_stat_ind='0') src where rn=1) pr on cmp.ndc_number = pr.prod_ndc_id where to_date(cmp.ship_date,'M/d/y') between (select min(period_start_date) from com_us_lake.dq_count_table where rule_key = 1011)  and (select max(period_end_date) from com_us_lake.dq_count_table where rule_key = 1011) and upper(franchise_nm) = 'HEMATOLOGY' group by brand_nm) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as product from com_us_lake.dq_count_table where rule_key = 1011) prv on cur.product=prv.product) select * from tmp",P1,10,3
unit_final_check,project_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_1011'),P1,0,4
dq_1211,channel_count,com_us_lake,dagg_bax_comp,id,"with tmp (select abs((cur_cnt-prv_cnt)/metric*100) as metric from (select count(1) as cur_cnt, channel_name from ((select * from com_us_lake.dagg_bax_comp cmp join com_us_lake.udef_ndc_hier ndc on cmp.ndc_number = ndc.ndc_code_10digit union select * from com_us_lake.dagg_bax_comp cmp join com_us_lake.udef_ndc_hier ndc on cmp.ndc_number = ndc.ndc_code_11digit) pa join com_us_lake.contract_xwalk wk on pa.pharmacy_name = wk.lh_pharmacy_name) sub left join com_us_lake.udef_na_hierarchy hrc on (sub.contract_id = hrc.contract_id or sub.contract_id = substr(hrc.contract_id,2,5)) where to_date(sub.ship_date,'M/d/y') between (select min(period_start_date) from com_us_lake.dq_count_table where rule_key = 1211)  and (select max(period_end_date) from com_us_lake.dq_count_table where rule_key = 1211) and upper(franchise_nm) = 'HEMATOLOGY' group by channel_name) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as product from com_us_lake.dq_count_table where rule_key = 1211) prv on cur.channel_name=prv.channel_name) select * from tmp",P1,10,5
channel_final_count,channel_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_1211'),P1,0,6
dq_1511,unit_count,com_us_lake,dagg_bax_comp,id,"with tmp (select abs((cur_cnt-prv_cnt)/metric*100) as metric from (select count(distinct LH_PATIENT_ID) as cur_cnt, 'LH_Patient' as field_name from (select * from com_us_lake.dagg_bax_comp cmp join com_us_lake.udef_ndc_hier ndc on cmp.ndc_number = ndc.ndc_code_10digit union select * from com_us_lake.dagg_bax_comp cmp join com_us_lake.udef_ndc_hier ndc on cmp.ndc_number = ndc.ndc_code_11digit) pa where to_date(pa.ship_date,'M/d/y') between (select min(period_start_date) from com_us_lake.dq_count_table where rule_key = 1511)  and (select max(period_end_date) from com_us_lake.dq_count_table where rule_key = 1511) and upper(level_1_sales_force) = 'HEMATOLOGY') cur cross join (select prv_count as prv_cnt, metric, field_name from com_us_lake.dq_count_table where rule_key = 1511) prv on cur.field_name=prv.field_name) select * from tmp",P1,10,7
unit_final_check,unit_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_1511'),P1,0,8
dq_1611,project_count,com_us_lake,dagg_bax_comp,id,"with tmp (select abs((cur_cnt-prv_cnt)/metric*100) as metric from (select count(distinct LH_PATIENT_ID) as cur_cnt, brand_nm as product from com_us_lake.dagg_bax_comp cmp join (select src.row_key,src.brand_nm,franchise_nm,src.prod_ndc_id from (SELECT prd_prod_key as row_key,brand_nm,franchise_nm,prod_ndc_id,row_number() over(partition by prod_ndc_id order by prod_id desc) as rn FROM COM_US_HUB.ref_prd_prod WHERE aud_row_stat_ind='0') src where rn=1) pr on cmp.ndc_number = pr.prod_ndc_id where to_date(cmp.ship_date,'M/d/y') between (select min(period_start_date) from com_us_lake.dq_count_table where rule_key = 1611)  and (select max(period_end_date) from com_us_lake.dq_count_table where rule_key = 1611) and upper(franchise_nm) = 'HEMATOLOGY' group by brand_nm) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as product from com_us_lake.dq_count_table where rule_key = 1611) prv on cur.product=prv.product) select * from tmp",P1,10,9
unit_final_check,project_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_1611'),P1,0,10
