dq_check_id,Check,Database_name,table_name,primary_key_cols,sql_fr_run,priority,threshold,run_seq
dq_3131,unit_count,com_us_mart_03,txn_patient_dispense,patient_dispense_key,"with tmp (select abs((cur_cnt-metric)/metric*100) as metric from (select count(1) as cur_cnt, 'Unit' as field_name from com_us_mart_03.txn_patient_dispense pa join com_us_mart_03.ref_prod_market_def mk on upper(pa.prod_key) = upper(mk.prod_key) where to_date(to_date(pa.ship_date,'M/d/y'),'M/d/y') between trunc(current_date, 'mm') and date_add(trunc(add_months(current_date, 1), 'mm'), -1) and upper(franchise_nm) = 'HEMATOLOGY') cur cross join (select prv_count as prv_cnt, metric, field_name from com_us_lake.dq_count_table where rule_key = 931) prv on cur.field_name=prv.field_name) select * from tmp",P1,20,1
unit_final_check,unit_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_3131'),P1,0,2
dq_3231,product_count,com_us_mart_03,txn_patient_dispense,patient_dispense_key,"with tmp (select max(abs((cur_cnt-metric)/metric*100)) as metric from (select count(1) as cur_cnt,  brand_nm as product from com_us_mart_03.txn_patient_dispense pa join com_us_mart_03.ref_prd_prod prd on upper(pa.prod_key) = upper(prd.prd_prod_key) where to_date(pa.ship_date,'M/d/y') between trunc(current_date, 'mm') and date_add(trunc(add_months(current_date, 1), 'mm'), -1) and upper(franchise_nm)='HEMATOLOGY' group by brand_nm) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as product from com_us_lake.dq_count_table where rule_key = 1031) prv on cur.product = prv.product) select * from tmp",P1,20,3
product_final_check,product_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_3231'),P1,0,4
dq_3431,channel_count,com_us_mart_03,txn_patient_dispense,patient_dispense_key,"with tmp (select max(abs((cur_cnt-metric)/metric*100)) as metric from (select count(1) as cur_cnt, chnl_nm as channel_name from com_us_mart_03.txn_patient_dispense pa join com_us_mart_03.ref_prod_market_def mk on upper(pa.prod_key) = upper(mk.prod_key) where to_date(pa.ship_date,'M/d/y') between trunc(current_date, 'mm') and date_add(trunc(add_months(current_date, 1), 'mm'), -1) and upper(franchise_nm) = 'HEMATOLOGY' group by chnl_nm) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as channel_name from com_us_lake.dq_count_table where rule_key = 1231) prv on cur.channel_name = prv.channel_name) select * from tmp",P1,20,5
channel_final_count,channel_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_3431'),P1,0,6
dq_3531,region_count,com_us_mart_03,txn_patient_dispense,patient_dispense_key,"with tmp (select max(abs((cur_cnt-metric)/metric*100)) as metric from (select count(1) as cur_cnt, region from
(select patient_dispense_key,ship_date,reg_desc as region from com_us_mart_03.txn_patient_dispense pa join com_us_mart_03.ref_prod_market_def mk on upper(pa.prod_key) = upper(mk.prod_key) join com_us_mart_03.txn_terr_assign on patient_dispense_key = transaction_row_key join com_us_mart_03.ref_sales_hierarchy on terr_id = terr_assignment where mk.franchise_nm = 'HEMATOLOGY' and length(terr_assignment)>0
union
select patient_dispense_key,ship_date,reg_desc as region from com_us_mart_03.txn_patient_dispense pa join com_us_mart_03.ref_prod_market_def mk on upper(pa.prod_key) = upper(mk.prod_key) join com_us_mart_03.txn_terr_assign on patient_dispense_key = transaction_row_key join com_us_mart_03.ref_sales_hierarchy on terr_id = reg_assignment where mk.franchise_nm = 'HEMATOLOGY' and length(reg_assignment)>0
union
select patient_dispense_key,ship_date,area_desc as region from com_us_mart_03.txn_patient_dispense pa join com_us_mart_03.ref_prod_market_def mk on upper(pa.prod_key) = upper(mk.prod_key) join com_us_mart_03.txn_terr_assign on patient_dispense_key = transaction_row_key join com_us_mart_03.ref_sales_hierarchy on terr_id = area_assignment where mk.franchise_nm = 'HEMATOLOGY' and length(area_assignment)>0) sa where to_date(sa.ship_date,'M/d/y') between trunc(current_date, 'mm') and date_add(trunc(add_months(current_date, 1), 'mm'), -1) group by region) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as region from com_us_lake.dq_count_table where rule_key = 1331) prv on cur.region = prv.region) select * from tmp",P1,20,7
region_final_count,region_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_3531'),P1,0,8
dq_3631,territory_count,com_us_mart_03,txn_patient_dispense,patient_dispense_key,"with tmp (select max(abs((cur_cnt-metric)/metric*100)) as metric from (select count(1) as cur_cnt, territory from
(select patient_dispense_key,ship_date,terr_desc as territory from com_us_mart_03.txn_patient_dispense pa join com_us_mart_03.ref_prod_market_def mk on upper(pa.prod_key) = upper(mk.prod_key) join com_us_mart_03.txn_terr_assign on patient_dispense_key = transaction_row_key join com_us_mart_03.ref_sales_hierarchy on terr_id = terr_assignment where mk.franchise_nm = 'HEMATOLOGY' and length(terr_assignment)>0
union
select patient_dispense_key,ship_date,reg_desc as territory from com_us_mart_03.txn_patient_dispense pa join com_us_mart_03.ref_prod_market_def mk on upper(pa.prod_key) = upper(mk.prod_key) join com_us_mart_03.txn_terr_assign on patient_dispense_key = transaction_row_key join com_us_mart_03.ref_sales_hierarchy on terr_id = reg_assignment where mk.franchise_nm = 'HEMATOLOGY' and length(reg_assignment)>0
union
select patient_dispense_key,ship_date,area_desc as territory from com_us_mart_03.txn_patient_dispense pa join com_us_mart_03.ref_prod_market_def mk on upper(pa.prod_key) = upper(mk.prod_key) join com_us_mart_03.txn_terr_assign on patient_dispense_key = transaction_row_key join com_us_mart_03.ref_sales_hierarchy on terr_id = area_assignment where mk.franchise_nm = 'HEMATOLOGY' and length(area_assignment)>0) sa where to_date(sa.ship_date,'M/d/y') between trunc(current_date, 'mm') and date_add(trunc(add_months(current_date, 1), 'mm'), -1) group by territory) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as territory from com_us_lake.dq_count_table where rule_key = 1431) prv on cur.territory = prv.territory) select * from tmp",P1,20,9
territory_final_count,territory_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_3631'),P1,0,10
dq_3731,patient_count,com_us_mart_03,txn_patient_dispense,patient_dispense_key,"with tmp (select abs((cur_cnt-metric)/metric*100) as metric from (select count(distinct dagg_patient_id) as cur_cnt, 'Unit' as field_name from com_us_mart_03.txn_patient_dispense pa join com_us_mart_03.ref_prod_market_def mk on upper(pa.prod_key) = upper(mk.prod_key) where to_date(pa.ship_date,'M/d/y') between trunc(current_date, 'mm') and date_add(trunc(add_months(current_date, 1), 'mm'), -1) and upper(franchise_nm) = 'HEMATOLOGY') cur cross join (select prv_count as prv_cnt, metric, field_name from com_us_lake.dq_count_table where rule_key = 3731) prv on cur.field_name=prv.field_name) select * from tmp",P1,20,11
patient_final_check,patient_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_3731'),P1,0,12
dq_3831,product_count,com_us_mart_03,txn_patient_dispense,patient_dispense_key,"with tmp (select max(abs((cur_cnt-metric)/metric*100)) as metric from (select count(distinct dagg_patient_id) as cur_cnt,  brand_nm as product from com_us_mart_03.txn_patient_dispense pa join com_us_mart_03.ref_prd_prod prd on upper(pa.prod_key) = upper(prd.prd_prod_key) where to_date(pa.ship_date,'M/d/y') between trunc(current_date, 'mm') and date_add(trunc(add_months(current_date, 1), 'mm'), -1) and upper(franchise_nm)='HEMATOLOGY' group by brand_nm) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as product from com_us_lake.dq_count_table where rule_key = 3831) prv on cur.product = prv.product) select * from tmp",P1,20,13
product_final_check,product_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_3831'),P1,0,14
dq_4031,channel_count,com_us_mart_03,txn_patient_dispense,patient_dispense_key,"with tmp (select max(abs((cur_cnt-metric)/metric*100)) as metric from (select count(distinct dagg_patient_id) as cur_cnt, chnl_nm as channel_name from com_us_mart_03.txn_patient_dispense pa join com_us_mart_03.ref_prod_market_def mk on upper(pa.prod_key) = upper(mk.prod_key) where to_date(pa.ship_date,'M/d/y') between trunc(current_date, 'mm') and date_add(trunc(add_months(current_date, 1), 'mm'), -1) and upper(franchise_nm) = 'HEMATOLOGY' group by chnl_nm) cur cross join (select prv_count as prv_cnt, metric, sub_field_name as channel_name from com_us_lake.dq_count_table where rule_key = 4031) prv on cur.channel_name = prv.channel_name) select * from tmp",P1,20,15
channel_final_count,channel_count,corp_us_lake,generalledger_lineitems_takeda,"LOGSYS,COMP_CODE,CHRT_ACCTS,GL_ACCOUNT,FISCVARNT,FISCPER,AC_DOC_NO,ITEM_NUM",select case when metric > threshold then 1 else 0 end as res from corp_us_lake.dq_output_table where entity_id in ('dq_3831'),P1,0,16
